# faithfulness table for FalconAggProgram-level1
# generated by `cargo test --release --lib -- --test-threads=1 faithfulness`; do not hand-edit
op	source	kind	verdict	detail
verifyLeftChild	agg.rs:394	public-inputs	ok	the left child proof target carries exactly the level-0 arity (17)
verifyLeftChild	agg.rs:394	gadget	not-static	constant child verifier data + recursive verification are not copy constraints
addVirtualBoolSafe	agg.rs:397	arith	not-injectable	mul_sub(b,b,b) == 0; set_bool_target only accepts a genuine bool, so no witness through the public API can break it
conditionallyVerifyRightChild	agg.rs:398-399	public-inputs	ok	the right child proof target carries exactly the level-0 arity (17)
conditionallyVerifyRightChild	agg.rs:398-399	gadget	mutation	gated verification: dummy_right_child_flagged_present_is_rejected in this file
gatedMessageEquality[0..8)	agg.rs:410-414	arith	mutation	sub/mul/assert_zero chain: faithfulness_falcon_agg_level1_mutation_gated_message_equality
gatedMessageEquality[0..8)	agg.rs:410-414	width	ok	the loop covers exactly the 8 message limbs of both children
gatedCountR	agg.rs:419	arith	not-static	mul(is_right_present, count_r) is an arithmetic gate output
signerCountAdd	agg.rs:420	arith	mutation	add(count_l, gated_count_r): faithfulness_falcon_agg_level1_mutation_signer_count
halfFullConstant	agg.rs:434	constant	ok	builder.constant(1 << (level - 1)) is wired to that ConstantGate value
leftFullnessGap	agg.rs:435	arith	not-static	sub(count_l, half_full) is an arithmetic gate output
gatedGap	agg.rs:436	arith	not-static	mul(is_right_present, left_fullness_gap) is an arithmetic gate output
assertZeroGap	agg.rs:437	connect	ok	assert_zero(gated_gap): the gated gap wire is wired to the constant 0
assertZeroGap	agg.rs:437	arith	not-injectable	at level 1 count_l is the leaf's verifier-enforced constant 1 == half_full, so the gap is structurally 0; the violation needs level >= 2 (non_left_packed_aggregation_is_unprovable)
registerMessage8	agg.rs:442	public-inputs	ok	PI 0..8 are the LEFT child's message limbs verbatim
registerSignerCount	agg.rs:443	public-inputs	ok	PI 8 is the add(count_l, gated_count_r) wire
registerLeftPks	agg.rs:444	public-inputs	ok	PI 9..17 are the LEFT child's pk slot limbs verbatim
registerGatedRightPk[0..8)	agg.rs:445-448	public-inputs	ok	PI 17..25 are the mul(is_right_present, right pk limb) wires, in child order
requireLevelWidth	agg.rs:456-462	public-inputs	ok	the built level-1 circuit exposes exactly falcon_agg_public_inputs_len(1) = 25 limbs
addConstGate	agg.rs:452	no-gate	trivial	ConstantGate placement for the next level's dummy; Lean holds = True
build	agg.rs:455	no-gate	trivial	builder.build emits no constraint; Lean holds = True
