# faithfulness table for CloseAssetBacking
# generated by `cargo test --release --lib -- --test-threads=1 faithfulness`; do not hand-edit
op	source	kind	verdict	detail
assertBalancePiShape	close_asset_backing_circuit.rs:442-446	public-inputs	ok	holds: balanceProofWire.publicInputCount = recursive.expectedBalancePiCount — the consumed proof is the canonical cyclic shape (29 + vd tail)
startStandardRecursionZk	close_asset_backing_circuit.rs:447-448	config	ok	holds = True (config selection emits no gate); checked the docstring claim: the built circuit carries standard_recursion_zk_config
allocateProofAndVerifyPinnedCyclic	close_asset_backing_circuit.rs:450	gadget	not-static	holds: recursive.circuitAccepts balanceProofWire — add_proof_target_and_verify_cyclic bakes balance_vd in as constants and binds the self-VD; a FRI verifier, not a copy constraint
decodeBalanceTargetPis	close_asset_backing_circuit.rs:451-455	aliasing	ok	holds = True (pure re-slicing, no gate); checked the docstring claim that carries the aliasing: all 29 decoded statement wires ARE, target for target, the first 29 public inputs of the verified proof
allocatePrivateUnchecked	close_asset_backing_circuit.rs:457	range	ok	holds = True; checked the docstring claim: PrivateStateTarget::new range-checks none of its 21 wires (four Poseidon roots, nonce, salt)
computePrivatePoseidon	close_asset_backing_circuit.rs:458	gadget	not-static	holds: hash.privateCommitment privateStateWire.words = openedPrivateCommitmentWire — PoseidonHashOutTarget::hash_inputs over the 21-word to_vec(); the permutation is a PoseidonGate relation, not a copy constraint
connectPrivateCommitment	close_asset_backing_circuit.rs:461	connect	ok	holds: openedPrivateCommitmentWire = balanceProofWire.statement.privateCommitment — all four limbs share a copy-constraint class
allocateExtendedChecked	close_asset_backing_circuit.rs:463	range	ok	holds: extendedStateWire.Checked — all eight conjuncts: blockNumber < 2^63, both timestamp limbs < 2^32, four Bytes32 chains u32-checked, depositCount < 2^63; and the three inner Poseidon roots stay range-unconstrained as the docstring says
connectInnerPublicState	close_asset_backing_circuit.rs:464-466	connect	ok	holds: balanceProofWire.statement.publicState = extendedStateWire.inner — all 15 inner wires (block number, 2 timestamp limbs, 3 Poseidon roots) are connected
allocateCount	close_asset_backing_circuit.rs:468	no-gate	trivial	holds = True — add_virtual_target() emits no constraint
rangeCount32	close_asset_backing_circuit.rs:469	range	ok	holds: tokenCountWire < 2^32 — range_check(token_count, 32)
allocateRegistry [0..10)	close_asset_backing_circuit.rs:470-471	no-gate	trivial	holds = True — the raw registry allocation emits no constraint
rangeRegistry32 [0..10)	close_asset_backing_circuit.rs:472	range	ok	holds: registryWire row < 2^32 — range_check(registry[t], 32) for every one of the ten slots
allocateCheckedU256 [0..10)	close_asset_backing_circuit.rs:475	range	ok	holds: (amountWire row).Checked — U256Target::new(_, true) u32-checks all eight limbs of every token slot
allocateSafeBoolean [0..10)	close_asset_backing_circuit.rs:476	arith	not-static	holds: activityWire row = 0 ∨ activityWire row = 1 — add_virtual_bool_target_safe is mul_sub(b,b,b) asserted zero through an ArithmeticGate output, not a copy constraint
allocatePath [0..10)	close_asset_backing_circuit.rs:477-478	width	ok	holds = True; checked the constructor's own parameters: ten paths, each with exactly assetTreeHeight = 32 sibling hashes, and the allocation itself emits no gate
constantZero	close_asset_backing_circuit.rs:480	constant	ok	holds: zeroWire = 0 ∧ activitySumWire 0 = zeroWire — builder.zero() is pinned by a gate constant AND is the seed of the activity accumulator
constantOne	close_asset_backing_circuit.rs:481	constant	ok	holds: oneWire = 1 — builder.one() is wired to its ConstantGate value
subtractActivityFromOne [0..9)	close_asset_backing_circuit.rs:485	arith	not-static	holds: oneMinusActivityWire row = oneWire - activityWire row — builder.sub output is an ArithmeticGate relation
multiplyNextActivity [0..9)	close_asset_backing_circuit.rs:486	arith	not-static	holds: riseProductWire row = activityWire (row+1) * oneMinusActivityWire row — builder.mul output is an ArithmeticGate relation
connectNoRiseZero [0..9)	close_asset_backing_circuit.rs:489	connect	ok	holds: riseProductWire row = zeroWire — each of the nine rise products is connected to the zero constant
addActivityToSum [0..10)	close_asset_backing_circuit.rs:491-496	arith	not-static	holds: activitySumWire (row+1) = activitySumWire row + activityWire row — the ten builder.add outputs are ArithmeticGate relations
connectSumToCount	close_asset_backing_circuit.rs:497	connect	ok	holds: activitySumWire 10 = tokenCountWire — the final accumulator wire is connected to the token_count wire
assertFirstActive	close_asset_backing_circuit.rs:498	constant	ok	holds: activityWire 0 = 1 — assert_one(token_active_bits[0])
